Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;IDSubsegment;Subsegment;Technology;SizeClasse;EmConcept;KM;%OfSubsegment;V;V_0%;V_100%;EFA;EFA_0%;EFA_100%;V_weighted;V_weighted_0%;V_weighted_100%;EFA_weighted;EFA_weighted_0%;EFA_weighted_100%;AmbientCondPattern;EFA_WTT;EFA_WTT_0%;EFA_WTT_100%;EFA_WTW;EFA_WTW_0%;EFA_WTW_100%
2020HotDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/Freeflow;0%;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;41.6627655;;;0.131132901;;;41.66275787;;;0.010469965;;;ØGermany;;;;;;
2020HotDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/Freeflow;0%;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;41.6627655;;;0.026999693;;;41.66275787;;;0.010469965;;;ØGermany;;;;;;
2020HotDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/St+Go;0%;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;12.48871803;;;0.443671167;;;12.48863316;;;0.022639077;;;ØGermany;;;;;;
2020HotDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/St+Go;0%;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;12.48871803;;;0.062021133;;;12.48863316;;;0.022639077;;;ØGermany;;;;;;
2020HotDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0%;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;41.6627655;;;1.416626573;;;41.66275787;;;0.19335942;;;ØGermany;;;;;;
2020HotDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0%;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;41.6627655;;;0.087756261;;;41.66275787;;;0.19335942;;;ØGermany;;;;;;
2020HotDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0%;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;12.48871803;;;2.216767788;;;12.48863316;;;0.3382034;;;ØGermany;;;;;;
2020HotDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0%;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;12.48871803;;;0.260352999;;;12.48863316;;;0.3382034;;;ØGermany;;;;;;
2020HotDetailed[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/Local/50/Freeflow;0%;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;41.6627655;;;0.955499828;;;41.66275787;;;0.299246997;;;ØGermany;;;;;;
2020HotDetailed[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/Local/50/Freeflow;0%;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;41.6627655;;;0.973219097;;;41.66275787;;;0.299246997;;;ØGermany;;;;;;
2020HotDetailed[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/Local/50/St+Go;0%;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;12.48871803;;;1.434307933;;;12.48863316;;;0.548087835;;;ØGermany;;;;;;
2020HotDetailed[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/Local/50/St+Go;0%;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;12.48871803;;;1.795179963;;;12.48863316;;;0.548087835;;;ØGermany;;;;;;
2020HotDetailed[4.1];pass. car;2020;REF D HB41;FC;Urban;URB/Local/50/Freeflow;0%;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;41.6627655;;;54.90449524;;;41.66275787;;;50.59958649;;;ØGermany;;;;;;
2020HotDetailed[4.1];pass. car;2020;REF D HB41;FC;Urban;URB/Local/50/Freeflow;0%;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;41.6627655;;;48.66167831;;;41.66275787;;;50.59958649;;;ØGermany;;;;;;
2020HotDetailed[4.1];pass. car;2020;REF D HB41;FC;Urban;URB/Local/50/St+Go;0%;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;12.48871803;;;101.5777512;;;12.48863316;;;91.26190948;;;ØGermany;;;;;;
2020HotDetailed[4.1];pass. car;2020;REF D HB41;FC;Urban;URB/Local/50/St+Go;0%;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;12.48871803;;;86.310112;;;12.48863316;;;91.26190948;;;ØGermany;;;;;;
2020HotDetailed[4.1];pass. car;2020;REF D HB41;FC_MJ;Urban;URB/Local/50/Freeflow;0%;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;41.6627655;;;2.301772833;;;41.66275787;;;2.142549992;;;ØGermany;;;;;;
2020HotDetailed[4.1];pass. car;2020;REF D HB41;FC_MJ;Urban;URB/Local/50/Freeflow;0%;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;41.6627655;;;2.069849014;;;41.66275787;;;2.142549992;;;ØGermany;;;;;;
2020HotDetailed[4.1];pass. car;2020;REF D HB41;FC_MJ;Urban;URB/Local/50/St+Go;0%;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;12.48871803;;;4.258465767;;;12.48863316;;;3.863288879;;;ØGermany;;;;;;
2020HotDetailed[4.1];pass. car;2020;REF D HB41;FC_MJ;Urban;URB/Local/50/St+Go;0%;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;12.48871803;;;3.671243906;;;12.48863316;;;3.863288879;;;ØGermany;;;;;;
2020HotDetailed[4.1];pass. car;2020;REF D HB41;PM;Urban;URB/Local/50/Freeflow;0%;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;41.6627655;;;0.00144796;;;41.66275787;;;0.002823106;;;ØGermany;;;;;;
2020HotDetailed[4.1];pass. car;2020;REF D HB41;PM;Urban;URB/Local/50/Freeflow;0%;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;41.6627655;;;0.03847342;;;41.66275787;;;0.002823106;;;ØGermany;;;;;;
